,Start,End,DeltaBz,Duration
262,2018-07-23 11:36:53.750,2018-07-23 11:37:13.750,12.152924,20.0
263,2018-07-24 07:44:23.750,2018-07-24 07:44:28.250,-2.1596568,4.5
264,2018-07-24 10:49:18.750,2018-07-24 10:49:37.250,5.4312863,18.5
265,2018-07-26 12:53:46.250,2018-07-26 12:53:50.250,-2.3316972,4.0
266,2018-08-01 12:58:10.250,2018-08-01 12:58:17.750,8.484077,7.5
267,2018-08-09 08:46:38.750,2018-08-09 08:46:52.250,1.6681849,13.5
268,2018-08-10 21:04:29.750,2018-08-10 21:04:32.750,-1.3089634,3.0
269,2018-08-13 11:43:34.250,2018-08-13 11:43:46.750,-3.1498206,12.5
270,2018-08-15 06:23:40.750,2018-08-15 06:23:45.750,6.4178333,5.0
271,2018-08-15 06:41:10.250,2018-08-15 06:41:16.750,9.583463,6.5
272,2018-08-15 06:41:22.750,2018-08-15 06:41:25.750,9.074493,3.0
273,2018-08-15 06:58:49.250,2018-08-15 06:58:57.250,12.193762,8.0
274,2018-08-15 07:02:55.250,2018-08-15 07:03:01.250,-4.7129602,6.0
275,2018-08-15 12:01:49.250,2018-08-15 12:01:51.250,24.719223,2.0
276,2018-08-15 12:10:59.250,2018-08-15 12:11:06.750,3.436712,7.5
277,2018-08-15 12:13:24.750,2018-08-15 12:13:49.250,4.0267835,24.5
278,2018-08-15 15:14:36.750,2018-08-15 15:14:39.750,9.907066,3.0
279,2018-08-16 00:06:51.750,2018-08-16 00:06:54.750,1.0237457,3.0
280,2018-08-16 17:24:23.750,2018-08-16 17:24:24.750,-2.3030877,1.0
281,2018-08-18 07:38:27.250,2018-08-18 07:38:31.750,0.8463373,4.5
282,2018-08-18 07:47:23.750,2018-08-18 07:47:29.750,7.0334387,6.0
283,2018-08-18 14:49:34.250,2018-08-18 14:49:48.750,5.6345997,14.5
284,2018-08-19 12:52:14.250,2018-08-19 12:52:18.250,5.380538,4.0
285,2018-08-19 12:52:20.250,2018-08-19 12:52:27.250,-3.4824483,7.0
286,2018-08-19 13:44:49.250,2018-08-19 13:44:55.250,-1.2984778,6.0
287,2018-08-19 14:42:37.750,2018-08-19 14:42:55.250,5.8696904,17.5
288,2018-08-19 15:09:55.750,2018-08-19 15:10:13.750,6.2104664,18.0
289,2018-08-19 15:30:45.250,2018-08-19 15:30:50.750,-6.6092043,5.5
290,2018-08-19 15:36:25.750,2018-08-19 15:36:28.250,5.7450233,2.5
291,2018-08-19 15:36:28.250,2018-08-19 15:36:31.250,-2.7434516,3.0
292,2018-08-19 15:59:48.750,2018-08-19 15:59:55.750,8.620327,7.0
293,2018-08-19 16:08:37.750,2018-08-19 16:08:42.750,4.6966004,5.0
294,2018-08-19 16:08:42.750,2018-08-19 16:08:48.250,-5.484538,5.5
295,2018-08-19 16:28:06.250,2018-08-19 16:28:15.750,6.9910192,9.5
296,2018-08-19 16:38:25.250,2018-08-19 16:38:29.250,-4.618755,4.0
297,2018-08-21 18:33:23.750,2018-08-21 18:33:30.750,-1.3282086,7.0
298,2018-08-22 15:51:28.750,2018-08-22 15:51:29.750,-6.7266626,1.0
299,2018-08-22 15:55:41.250,2018-08-22 15:55:46.750,-12.439972,5.5
300,2018-08-27 05:43:55.250,2018-08-27 05:44:01.250,-7.8315697,6.0
301,2018-08-27 09:18:25.250,2018-08-27 09:18:29.250,6.1320515,4.0
